dt1,open,high,low,close,volume
2022-11-07 21:00:00,1601.64,1604.51,1573.46,1575.4,28118.998
2022-11-07 22:00:00,1575.4,1575.52,1545.03,1559.22,62847.6165
2022-11-07 23:00:00,1559.22,1569.65,1558.58,1568.1,21085.4708
2022-11-08 00:00:00,1568.09,1574.81,1558.68,1561.56,28135.4583
2022-11-08 01:00:00,1561.55,1576.79,1559.51,1571.35,14322.3054
2022-11-08 02:00:00,1571.34,1574.81,1537.0,1538.85,45193.5433
2022-11-08 03:00:00,1538.85,1545.65,1503.0,1507.07,132150.1884
2022-11-08 04:00:00,1507.06,1514.25,1458.0,1465.0,165666.8465
2022-11-08 05:00:00,1465.01,1475.73,1431.82,1470.39,136343.4659
2022-11-08 06:00:00,1470.38,1490.43,1466.42,1485.16,51365.7489
2022-11-08 07:00:00,1485.15,1497.95,1477.0,1492.0,44547.2361
2022-11-08 08:00:00,1492.0,1493.0,1481.41,1486.57,32500.9108
2022-11-08 09:00:00,1486.57,1494.49,1479.07,1489.7,29245.4844
2022-11-08 10:00:00,1489.7,1490.06,1476.36,1479.15,23122.599
2022-11-08 11:00:00,1479.16,1486.15,1468.99,1476.87,30320.2526
2022-11-08 12:00:00,1476.87,1487.22,1471.53,1478.89,27274.2101
2022-11-08 13:00:00,1478.89,1479.59,1457.06,1462.03,39559.9011
2022-11-08 14:00:00,1462.03,1474.05,1422.94,1444.13,196556.296
2022-11-08 15:00:00,1443.98,1462.69,1426.16,1462.48,68852.6861
2022-11-08 16:00:00,1462.48,1579.98,1454.47,1545.82,195120.4083
2022-11-08 17:00:00,1545.82,1554.88,1442.57,1447.42,195320.6727
2022-11-08 18:00:00,1447.1,1468.15,1341.08,1346.14,297790.2009
2022-11-08 19:00:00,1345.8,1359.01,1233.0,1315.39,313440.3388
2022-11-08 20:00:00,1315.39,1337.31,1280.0,1310.57,118235.606
2022-11-08 21:00:00,1310.57,1341.97,1300.0,1336.7,57065.7044
2022-11-08 22:00:00,1336.71,1338.11,1308.43,1318.58,40889.4387
2022-11-08 23:00:00,1318.58,1344.83,1313.72,1334.77,56897.0062
2022-11-09 00:00:00,1334.78,1337.16,1315.77,1317.5,64518.3512
2022-11-09 01:00:00,1317.49,1331.1,1312.32,1317.22,61983.0915
2022-11-09 02:00:00,1317.22,1328.83,1293.0,1295.01,64733.1267
2022-11-09 03:00:00,1295.01,1314.38,1283.37,1312.39,76425.8158
2022-11-09 04:00:00,1312.38,1319.38,1301.2,1303.99,44345.8857
2022-11-09 05:00:00,1304.0,1315.98,1285.69,1302.81,77736.9831
2022-11-09 06:00:00,1302.8,1308.71,1293.34,1294.32,44725.7621
2022-11-09 07:00:00,1294.32,1298.91,1266.43,1274.35,79325.1292
2022-11-09 08:00:00,1274.36,1276.59,1250.0,1263.59,105538.7981
2022-11-09 09:00:00,1263.6,1264.16,1199.0,1216.24,198734.4672
2022-11-09 10:00:00,1216.25,1229.6,1136.13,1195.02,312655.682
2022-11-09 11:00:00,1195.02,1225.2,1178.37,1220.04,117608.357
2022-11-09 12:00:00,1220.05,1248.55,1211.66,1227.03,145881.7463
2022-11-09 13:00:00,1227.04,1235.35,1191.87,1214.53,109850.1705
2022-11-09 14:00:00,1214.52,1246.0,1189.51,1225.89,89252.3559
2022-11-09 15:00:00,1225.89,1241.77,1150.0,1163.02,158028.0854
2022-11-09 16:00:00,1163.02,1199.19,1149.0,1174.29,121229.164
2022-11-09 17:00:00,1174.29,1186.54,1153.59,1168.53,66815.4842
2022-11-09 18:00:00,1168.54,1178.67,1143.43,1163.86,84567.1487
2022-11-09 19:00:00,1163.72,1206.0,1161.97,1195.47,74900.3282
2022-11-09 20:00:00,1195.46,1200.0,1148.0,1164.99,85537.4498
2022-11-09 21:00:00,1164.99,1165.6,1100.78,1106.68,132781.4782
2022-11-09 22:00:00,1106.11,1132.38,1100.62,1117.65,64988.508
2022-11-09 23:00:00,1117.65,1124.26,1073.53,1102.73,112634.5669
2022-11-10 00:00:00,1102.73,1147.64,1085.93,1146.14,105987.9489
2022-11-10 01:00:00,1146.15,1165.08,1130.0,1137.8,88951.7263
2022-11-10 02:00:00,1137.8,1150.0,1126.61,1149.98,44884.4546
2022-11-10 03:00:00,1149.98,1184.8,1145.48,1174.16,97068.5928
2022-11-10 04:00:00,1174.15,1182.35,1159.3,1176.4,48115.3705
2022-11-10 05:00:00,1176.39,1200.0,1176.22,1187.25,62931.3826
2022-11-10 06:00:00,1187.25,1194.94,1174.5,1176.07,63489.9116
2022-11-10 07:00:00,1176.06,1206.13,1172.01,1189.72,76801.3665
2022-11-10 08:00:00,1189.54,1219.62,1175.86,1215.8,89302.1995
2022-11-10 09:00:00,1215.89,1219.1,1186.0,1198.65,63187.3828
2022-11-10 10:00:00,1198.66,1204.95,1175.13,1181.01,70741.2677
2022-11-10 11:00:00,1181.0,1196.0,1176.74,1187.04,62471.4506
2022-11-10 12:00:00,1187.05,1234.2,1185.52,1214.99,124140.8762
2022-11-10 13:00:00,1214.99,1329.0,1197.0,1300.09,231210.5125
2022-11-10 14:00:00,1300.08,1328.99,1276.2,1324.32,161324.8888
2022-11-10 15:00:00,1324.2,1350.0,1305.99,1321.61,118386.4551
2022-11-10 16:00:00,1321.64,1350.0,1306.94,1321.27,82344.4259
